region_name,location_name,site_name,reef_name,reef_type,trip_code,trip_year,set_code,visibility,field_of_view,substrate_relief_sd,substrate_relief_mean,depth,ascidians,bleached_corals,bryozoa,consolidated,crinoids,halimeda,hard_coral,hydrocoral,hydroids,invertebrate_complex,macroalgae,mangrove,seagrass,soft_coral,sponge,true_anemones,unconsolidated,zoanthids,reef_id,set_id
Pacific,Palau,Koror State,East Lagoon,slope,FP_2016_PW_02,2016,KEL_128,,,,,9.00,,,,,,,,,,,,,,,,,,,456,1970
Western Atlantic,Dominican Republic,Las Galeras,Las Galeras,slope,FP_2017_DR_01,2017,GLR_026,,,,,12.00,,,,,,,,,,,,,,,,,,,743,29922
Western Atlantic,Bahamas,Abaco,Water Cay Bay,lagoon,FP_2016_BS_11,2016,ABW_006,7,,0.3780,1.8571,4.80,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,489,4888
Pacific,French Polynesia,Moorea,Moorea1,slope,FP_2016_PF_01,2016,MM1_002,,,,,10.00,,,,,,,,,,,,,,,,,,,470,19366
Coral Triangle,Vietnam,CoTo Island,Dong Tien,flat,FP_2017_VN_01,2017,CTDT_047,,,,,8.10,,,,,,,,,,,,,,,,,,,539,10854
Pacific,French Polynesia,Moorea,Moorea1,slope,FP_2016_PF_01,2016,MM1_001,,,,,12.00,,,,,,,,,,,,,,,,,,,470,19365
Coral Triangle,Philippines,Cagayan Island,Cagayancillo,slope,FP_2016_PH_01,2016,CGCG_154,,,,,12.00,,,,,,,,,,,,,,,,,,,203,14593
Coral Triangle,Philippines,Cagayan Island,Cagayancillo,slope,FP_2016_PH_01,2016,CGCG_155,,,,,32.00,,,,,,,,,,,,,,,,,,,203,14594
Coral Triangle,Philippines,Cagayan Island,Cagayancillo,slope,FP_2016_PH_01,2016,CGCG_156,,,,,37.00,,,,,,,,,,,,,,,,,,,203,14595
Coral Triangle,Philippines,Cagayan Island,Cagayancillo,slope,FP_2016_PH_01,2016,CGCG_157,,,,,24.00,,,,,,,,,,,,,,,,,,,203,14596
Coral Triangle,Philippines,Cagayan Island,Cagayancillo,slope,FP_2016_PH_01,2016,CGCG_158,,,,,13.00,,,,,,,,,,,,,,,,,,,203,14597
Coral Triangle,Philippines,Cagayan Island,Cagayancillo,slope,FP_2016_PH_01,2016,CGCG_159,,,,,23.00,,,,,,,,,,,,,,,,,,,203,14598
Coral Triangle,Philippines,Cagayan Island,Cagayancillo,slope,FP_2016_PH_01,2016,CGCG_160,,,,,26.00,,,,,,,,,,,,,,,,,,,203,14599
Coral Triangle,Philippines,Cagayan Island,Cagayancillo,slope,FP_2016_PH_01,2016,CGCG_161,,,,,85.00,,,,,,,,,,,,,,,,,,,203,14600
Coral Triangle,Philippines,Cagayan Island,Cagayancillo,slope,FP_2016_PH_01,2016,CGCG_162,,,,,16.00,,,,,,,,,,,,,,,,,,,203,14601
Western Atlantic,Bahamas,Abaco,Water Cay Bay,lagoon,FP_2016_BS_11,2016,ABW_007,5,,0.5222,1.4545,4.77,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,37,0,489,4889
Coral Triangle,Indonesia,Nusa Penida,East,slope,FP_2016_ID_01,2016,NPE_016,,,,,10.80,,,,,,,,,,,,,,,,,,,343,559
Western Atlantic,Trinidad and Tobago,Tobago,Charlotteville,slope,FP_2016_TT_01,2016,TBN1_CV22,,,,,39.00,,,,,,,,,,,,,,,,,,,91,367
Coral Triangle,Indonesia,Nusa Penida,East,slope,FP_2016_ID_01,2016,NPE_026,,,,,28.10,,,,,,,,,,,,,,,,,,,343,569
Western Atlantic,Bahamas,Abaco,Water Cay Bay,lagoon,FP_2016_BS_11,2016,ABW_011,5,,0.0000,2.0000,4.41,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,40,0,489,4893
Coral Triangle,Indonesia,Nusa Penida,East,slope,FP_2016_ID_01,2016,NPE_036,,,,,11.70,,,,,,,,,,,,,,,,,,,343,579
Western Atlantic,Bahamas,Abaco,Water Cay Bay,lagoon,FP_2016_BS_11,2016,ABW_020,5,,0.0000,2.0000,3.77,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,489,4902
Coral Triangle,Indonesia,Nusa Penida,West,slope,FP_2016_ID_01,2016,NPW_024,,,,,20.70,,,,,,,,,,,,,,,,,,,401,626
Coral Triangle,Indonesia,Nusa Penida,West,slope,FP_2016_ID_01,2016,NPW_029,,,,,14.60,,,,,,,,,,,,,,,,,,,401,631
Coral Triangle,Indonesia,Nusa Penida,West,slope,FP_2016_ID_01,2016,NPW_045,,,,,8.00,,,,,,,,,,,,,,,,,,,401,647
Coral Triangle,Indonesia,Nusa Penida,West,crest,FP_2016_ID_01,2016,NPW_049,,,,,6.80,,,,,,,,,,,,,,,,,,,401,651
Coral Triangle,Indonesia,Nusa Penida,West,slope,FP_2016_ID_01,2016,NPW_055,,,,,11.60,,,,,,,,,,,,,,,,,,,401,657
Western Atlantic,Bahamas,Abaco,Water Cay Bay,lagoon,FP_2016_BS_11,2016,ABW_021,5,,0.4472,1.2000,4.35,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,489,4903
Coral Triangle,Indonesia,Kopoposang,Open,slope,FP_2016_ID_01,2016,KOO_022,,,,,25.00,,,,,,,,,,,,,,,,,,,340,701
Western Atlantic,Bahamas,Abaco,Water Cay Bay,lagoon,FP_2016_BS_11,2016,ABW_027,7,,0.4410,1.7778,3.89,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,10,0,489,4909
Western Atlantic,Jamaica,Jamaica,Negril,back reef,FP_2016_JM_02,2016,100_173,,,,,6.58,,,,,,,,,,,,,,,,,,,173,190
Western Atlantic,Bahamas,Abaco,Water Cay Bay,lagoon,FP_2016_BS_11,2016,ABW_036,5,,0.5477,1.5000,4.20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,489,4918
Coral Triangle,Indonesia,Kopoposang,Open,slope,FP_2016_ID_01,2016,KOO_111,,,,,16.40,,,,,,,,,,,,,,,,,,,340,790
Western Atlantic,Bahamas,Abaco,Water Cay Bay,lagoon,FP_2016_BS_11,2016,ABW_046,5,,0.0000,2.0000,4.50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,489,4928
Coral Triangle,Indonesia,Kopoposang,Open,slope,FP_2016_ID_01,2016,KOO_128,,,,,8.40,,,,,,,,,,,,,,,,,,,340,807
Coral Triangle,Indonesia,Kopoposang,Open,slope,FP_2016_ID_01,2016,KOO_143,,,,,35.00,,,,,,,,,,,,,,,,,,,340,822
Coral Triangle,Indonesia,Kopoposang,Open,slope,FP_2016_ID_01,2016,KOO_146,,,,,14.30,,,,,,,,,,,,,,,,,,,340,825
Coral Triangle,Indonesia,Kopoposang,Open,slope,FP_2016_ID_01,2016,KOO_147,,,,,13.40,,,,,,,,,,,,,,,,,,,340,826
Coral Triangle,Indonesia,Kopoposang,Open,slope,FP_2016_ID_01,2016,KOO_153,,,,,14.40,,,,,,,,,,,,,,,,,,,340,832
Coral Triangle,Indonesia,Kopoposang,Open,slope,FP_2016_ID_01,2016,KOO_157,,,,,14.50,,,,,,,,,,,,,,,,,,,340,836
Pacific,USA-Pacific,Palmyra Atoll,Reef,flat,LC_2015_US-P_01,2015,PYR_082,10,Open,1.7770,1.0000,0.00,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,194,36210
Coral Triangle,Indonesia,Kopoposang,Open,slope,FP_2016_ID_01,2016,KOO_167,,,,,12.10,,,,,,,,,,,,,,,,,,,340,846
Coral Triangle,Indonesia,Kopoposang,Open,slope,FP_2016_ID_01,2016,KOO_177,,,,,6.90,,,,,,,,,,,,,,,,,,,340,856
Western Atlantic,Belize,Riversdale,Riversdale,flat,FP_2019_BZ_01,2019,RR_001,,,,,2.23,,,,,,,,,,,,,,,,,,,802,36253
