team,region_name,location_name,trip_code,set_code,set_date,wkt_coordinates,latitude,longitude,depth,site_name,reef_name,reef_habitat_name,drop_time,haul_time,equipment_frame_type,equipment_camera,equipment_stereo_camera,equipment_camera_height,equipment_arm_length,bait_preparation,bait_type,bait_oiled,visibility,current_flow_estimated,current_flow_instrumented,video_file_name,video_source,video_path,comments,message_to_annotators,bruv_image_url,splendor_image_url,reviewed_assignments,total_assignments,master_record_state
FIU,Western Atlantic,Bahamas,BR_2018_BS_01,BIS_S04,2018-01-20,0101000000B936548CF3D153C0605969520AB23940,25.69547000,-79.28049000,0.80,Bimini,Bimini South,flat,11:12:00,12:50:00,Stainless rebar,Hero Basic,False,60,170,WHL,menhaden chum block,False,,L,,stitchedS4.mp4,,,Sponge fisherman nearby,,,,0,0,
FIU,Western Atlantic,Bahamas,BR_2018_BS_01,S31,2018-03-05,0101000000693A3B191CD353C08A8EE4F21FB23940,25.69580000,-79.29859000,1.45,Bimini,Bimini South,flat,11:40:00,12:40:00,Stainless rebar,Hero Basic,False,60,170,WHL,menhaden chum block,False,,L,42.00,stitchedS31.MP4,,,,,,,0,0,
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCB2_001,2015-11-06,01010000007EACE0B721036240B87878CF81C52BC0,-13.88575600,144.09786600,17.50,Northern GBR 1,13-124,slope,08:05:00,09:10:00,Stainless rebar,GoPro Hero 4,False,50,100,CRS,Pilchards,False,3,,,FP_2015_AU-P_01_PCB2_001.mp4,,,,,,,2,2,Completed
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCB2_002,2015-11-06,01010000009546CCECF302624047205ED72FC82BC0,-13.89099000,144.09227600,18.00,Northern GBR 1,13-124,slope,08:10:00,,Stainless rebar,GoPro Hero 4,False,50,100,CRS,Pilchards,False,3,,,FP_2015_AU-P_01_PCB2_002.mp4,,,,,,,2,2,Completed
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCB2_003,2015-11-06,0101000000C619C39CA00262407573F1B73DC92BC0,-13.89304900,144.08210600,18.00,Northern GBR 1,13-124,slope,08:15:00,,Stainless rebar,GoPro Hero 4,False,50,100,CRS,Pilchards,False,3,,,FP_2015_AU-P_01_PCB2_003.mp4,,,Sideways,,,,2,2,Completed
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCB2_004,2015-11-06,01010000001618B2BA550262403EEB1A2D07CA2BC0,-13.89458600,144.07296500,15.00,Northern GBR 1,13-124,slope,08:23:00,09:40:00,Stainless rebar,GoPro Hero 4,False,50,100,CRS,Pilchards,False,5,,,FP_2015_AU-P_01_PCB2_004.mp4,,,Sideways,,,,2,2,Completed
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCB2_005,2015-11-06,0101000000FF25A94C31036240F641960513BF2BC0,-13.87319200,144.09976800,19.00,Northern GBR 1,13-124,slope,08:31:00,09:50:00,Stainless rebar,GoPro Hero 4,False,50,100,CRS,Pilchards,False,7,,,FP_2015_AU-P_01_PCB2_005.mp4,,,Sideways,,,,2,2,Completed
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCB2_006,2015-11-06,0101000000DBC2F35231036240E36C3A02B8C12BC0,-13.87835700,144.09977100,19.00,Northern GBR 1,13-124,slope,08:39:00,09:59:00,Stainless rebar,GoPro Hero 4,False,50,100,CRS,Pilchards,False,5,,,FP_2015_AU-P_01_PCB2_006.mp4,,,BB gone ,,,,2,2,Completed
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCB2_007,2015-11-06,01010000006346787B90026240D0251C7A8BC72BC0,-13.88973600,144.08013700,21.20,Northern GBR 1,13-124,slope,10:17:00,11:24:00,Stainless rebar,GoPro Hero 4,False,50,100,CRS,Pilchards,False,5,,,FP_2015_AU-P_01_PCB2_007.mp4,,,,,,,2,2,Completed
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCB2_008,2015-11-06,01010000005325CADED2026240ACC77DAB75CA2BC0,-13.89542900,144.08824100,8.90,Northern GBR 1,13-124,slope,10:26:00,11:34:00,Stainless rebar,GoPro Hero 4,False,50,100,CRS,Pilchards,False,5,,,FP_2015_AU-P_01_PCB2_008.mp4,,,,,,,1,2,Completed
