region_name,location_name,site_name,reef_name,reef_type,trip_code,trip_year,set_code,maxn,common_name,genus,species,species_group,family,event_time_mil,event_time_mins,set_lat,set_long,visibility,depth,bait,current_flow_estimated,current_flow_instrumented,reef_id,set_id,master_set_id,animal_id
Western Atlantic,Bahamas,Abaco,Water Cay Bay,lagoon,FP_2016_BS_11,2016,ABW_006,,,,,,,,,26.62226000,-77.19994000,7,4.80,Pilchards,,,489,4888,176,9999
Pacific,French Polynesia,Moorea,Moorea1,slope,FP_2016_PF_01,2016,MM1_002,2,Blacktip reef shark,Carcharhinus,melanopterus,Shark,Carcharhinidae,1616789,026:56:789,-17.47583000,-149.84258000,,10.00,Yellowfin Tuna,,,470,19366,10430,114
Western Atlantic,Bahamas,Abaco,Water Cay Bay,lagoon,FP_2016_BS_11,2016,ABW_007,,,,,,,,,26.62570000,-77.18713000,5,4.77,Pilchards,,,489,4889,11689,9999
Western Atlantic,Bahamas,Abaco,Water Cay Bay,lagoon,FP_2016_BS_11,2016,ABW_011,,,,,,,,,26.61053000,-77.18629000,5,4.41,Pilchards,,,489,4893,110,9999
Coral Triangle,Indonesia,Nusa Penida,East,slope,FP_2016_ID_01,2016,NPE_036,,,,,,,,,-8.81466667,115.59305000,,11.70,Pilchards,,,343,579,2960,9999
Western Atlantic,Bahamas,Abaco,Water Cay Bay,lagoon,FP_2016_BS_11,2016,ABW_020,,,,,,,,,26.60253000,-77.18401000,5,3.77,Pilchards,,,489,4902,11696,9999
Coral Triangle,Indonesia,Nusa Penida,West,slope,FP_2016_ID_01,2016,NPW_029,,,,,,,,,-8.66561667,115.43995000,,14.60,Pilchards,,,401,631,3004,9999
Coral Triangle,Indonesia,Nusa Penida,West,crest,FP_2016_ID_01,2016,NPW_049,,,,,,,,,-8.68680000,115.47826670,,6.80,Pilchards,,,401,651,3022,9999
Western Atlantic,Bahamas,Abaco,Water Cay Bay,lagoon,FP_2016_BS_11,2016,ABW_021,,,,,,,,,26.60285000,-77.19569000,5,4.35,Pilchards,,,489,4903,277,9999
Western Atlantic,Bahamas,Abaco,Water Cay Bay,lagoon,FP_2016_BS_11,2016,ABW_027,,,,,,,,,26.61371000,-77.18641000,7,3.89,Pilchards,,,489,4909,11700,9999
Western Atlantic,Bahamas,Abaco,Water Cay Bay,lagoon,FP_2016_BS_11,2016,ABW_036,,,,,,,,,26.60548000,-77.19635000,5,4.20,Pilchards,,,489,4918,11706,9999
Western Atlantic,Bahamas,Abaco,Water Cay Bay,lagoon,FP_2016_BS_11,2016,ABW_046,,,,,,,,,26.61605000,-77.17757000,5,4.50,Pilchards,,,489,4928,315,9999
Coral Triangle,Indonesia,Kopoposang,Open,slope,FP_2016_ID_01,2016,KOO_128,1,Bluespotted fantail ray,Taeniura,lymma,Ray,Dasyatidae,954848,015:54:848,-4.56078333,119.16343330,,8.40,Pilchards,,,340,807,3571,255
Coral Triangle,Indonesia,Kopoposang,Open,slope,FP_2016_ID_01,2016,KOO_147,,,,,,,,,-4.65573333,119.14898330,,13.40,Pilchards,,,340,826,3587,9999
Pacific,USA-Pacific,Palmyra Atoll,Reef,flat,LC_2015_US-P_01,2015,PYR_082,4,Grey reef shark,Carcharhinus,amblyrhynchos,Shark,Carcharhinidae,1631860,027:11:860,5.89420000,-162.09140000,10,0.00,Chub mackerel,,,194,36210,19196,257
