region_name,location_name,site_name,site_type,reef_name,protection_status,mpa_name,mpa_area,mpa_year_founded,mpa_isolation,mpa_compliance,fishing_restrictions,shark_fishing_gear,region_id,location_id,site_id,reef_id
Coral Triangle,China,Hainan,C,x1,openly fished,,,,,,,,2,77,133,348
Coral Triangle,China,Hainan,C,x2,openly fished,,,,,,,,2,77,133,408
Coral Triangle,Hong Kong,x,C,x1,openly fished,,,,,,,,2,83,171,330
Coral Triangle,Hong Kong,x,C,x2,openly fished,,,,,,,,2,83,171,383
Coral Triangle,Indonesia,Bau Bau,I,Coast,openly fished,,,,,,,blast; seine; hook and line; gillnet; spear; longline,2,93,218,492
Coral Triangle,Indonesia,Bau Bau,I,Coast3,openly fished,,,,,,,seine; hook and line; blast; longline; spear; fish trap; gillnet,2,93,218,772
Coral Triangle,Indonesia,Bau Bau,I,Coast4,openly fished,,,,,,,seine; longline; fish trap; spear; gillnet; blast; hook and line,2,93,218,798
Coral Triangle,Indonesia,Bau Bau,I,Islands,openly fished,,,,,,,spear; fish trap; seine; gillnet; hook and line; blast; longline,2,93,218,493
Coral Triangle,Indonesia,Bau Bau,I,Islands3,openly fished,,,,,,,blast; gillnet; spear; fish trap; seine; hook and line,2,93,218,773
Coral Triangle,Indonesia,Bau Bau,I,Islands4,openly fished,,,,,,,spear; fish trap; blast; hook and line; seine; longline; gillnet,2,93,218,799
Coral Triangle,Indonesia,Gili Islands,C,Gili Air Open,restricted,,,,,,gear,gillnet; cyanide; drumline; spear; fish trap,2,93,131,684
Coral Triangle,Indonesia,Gili Islands,C,Gili Meno Open,restricted,,,,,,"area, gear",fish trap; gillnet; hook and line,2,93,131,683
Coral Triangle,Indonesia,Gili Islands,C,Gili Trawangan Closed,closed,Gili Matra Reserve,3.00,2007,<20km to next reef,low,"gear, area",hook and line; fish trap,2,93,131,168
Coral Triangle,Indonesia,Gili Islands,C,Gili Trawangan Open,restricted,,,,,,"area, species",fish trap; hook and line; spear; longline,2,93,131,169
Coral Triangle,Indonesia,Kopoposang,V,Open,restricted,Kopoposang Restricted,500.00,2009,<20km to next reef,low,area,longline; cyanide; gillnet; blast; spear; hook and line; seine,2,93,125,340
Coral Triangle,Indonesia,Kopoposang,V,Protected,closed,Kopoposang Closed,100.00,2009,<20km to next reef,low,"entrants, area, effort",cyanide; seine; longline; spear; gillnet; blast; hook and line,2,93,125,403
Coral Triangle,Indonesia,North Sulawesi,V,Bangka Island,openly fished,,,,,,,spear; longline; gillnet; cyanide; blast; hook and line; seine,2,93,129,353
Coral Triangle,Indonesia,North Sulawesi,V,Lembeh Island,openly fished,,,,,,,longline; cyanide; blast; hook and line; seine; spear; gillnet,2,93,129,407
Coral Triangle,Indonesia,North Sumatra,V,Aceh Island,restricted,Rupiah Island Marine Park,26.00,,<20km to next reef,low,area,blast; cyanide; spear; seine; hook and line; longline; gillnet,2,93,128,453
Coral Triangle,Indonesia,North Sumatra,V,Weh Island Closed,restricted,Pulau Weh Marine Park,13.00,1982,continuous,low,area,longline; hook and line; cyanide; blast; spear; gillnet; seine,2,93,128,406
Coral Triangle,Indonesia,North Sumatra,V,Weh Island Open,restricted,Weh Island Marine Nature Tourist Park,26.00,1982,continuous,low,area,seine; spear; hook and line; blast; cyanide; longline; gillnet,2,93,128,352
Coral Triangle,Indonesia,Nusa Penida,V,East,openly fished,,,,,,,drumline; hook and line; blast; longline; spear; gillnet; cyanide; seine,2,93,123,343
Coral Triangle,Indonesia,Nusa Penida,V,West,openly fished,,,,,,,spear; seine; hook and line; longline; blast; gillnet; cyanide; drumline,2,93,123,401
Coral Triangle,Indonesia,Raja Ampat,C,x2,openly fished,,,,,,,,2,93,148,416
Coral Triangle,Japan,Okinawa,I,Iriomote,openly fished,,,,,,,gillnet; spear; longline; seine; hook and line,2,63,144,415
Coral Triangle,Japan,Okinawa,I,Kuroshima,openly fished,,,,,,,gillnet; hook and line; seine; longline; spear,2,63,144,376
Coral Triangle,Malaysia,Kota Kinabalu,I,Tunku Abdul Rahman Park,closed,Tunku Abdul Rahman Park,49.00,1974,<20km to next reef,high,"area, effort",,2,100,120,327
Coral Triangle,Malaysia,Kuala Terrenganu,C,Pulau Redang,closed,Pulau Redang Archipelago,510.00,1984,<20km to next reef,medium,"effort, area",spear; hook and line,2,100,221,497
Coral Triangle,Malaysia,Perhentian,V,West,closed,Pulau Perhentian Archipelago,17.00,1984,<20km to next reef,low,,,2,100,220,496
Coral Triangle,Malaysia,Semporna Islands Park,I,Tun Sakaran Marine Park,restricted,Tun Sakaran Marine Park,101.00,2004,<20km to next reef,medium,"area, species",gillnet; spear; seine; hook and line,2,100,126,402
Coral Triangle,Malaysia,Semporna Islands Park,I,x1,openly fished,,,,,,,,2,100,126,362
Coral Triangle,Malaysia,Semporna Islands Park,I,x2,openly fished,,,,,,,,2,100,126,404
Coral Triangle,Malaysia,Semporna South,I,Mabul / Kapalai,openly fished,,,,,,,gillnet; longline; seine; hook and line,2,100,124,368
Coral Triangle,Malaysia,Semporna South,I,Sipadan,closed,Sipadan,4.00,2004,>20km to next reef,high,"entrants, area, effort",,2,100,124,399
Coral Triangle,Malaysia,Tioman,V,East,closed,Pulau Tioman Marine Park,140.00,1994,<20km to next reef,medium,"area, effort",hook and line,2,100,219,495
Coral Triangle,Malaysia,Tioman,V,West,closed,Pulau Tioman Marine Park,140.00,1994,<20km to next reef,medium,"effort, area",hook and line,2,100,219,494
Coral Triangle,Papua New Guinea,Conflict Islands,A,Milne Bay Lagoon,restricted,,,,,,effort,longline; hook and line,2,95,273,414
Coral Triangle,Papua New Guinea,Conflict Islands,A,Outer Milne Bay,restricted,,,,,,effort,hook and line; longline,2,95,273,335
Coral Triangle,Papua New Guinea,Kavieng,I,Kapalaman,openly fished,,,,,,,longline; hook and line; spear,2,95,136,545
Coral Triangle,Papua New Guinea,Kavieng,I,Tsoi Islands,restricted,,,,,,gear,gillnet; longline; seine; spear; hook and line,2,95,136,546
Coral Triangle,Papua New Guinea,Kimbe Bay,I,Hoskins Lagoon,restricted,,,,,,area,hook and line; longline,2,95,137,411
Coral Triangle,Papua New Guinea,Kimbe Bay,I,Restoff Island,restricted,,,,,,area,hook and line; longline,2,95,137,329
Coral Triangle,Philippines,Cagayan Island,V,Cagayancillo,restricted,,,,,,species,gillnet; fish trap; hook and line; drumline; longline; spear,2,74,245,203
Coral Triangle,Philippines,Cagayan Island,V,Cawili,restricted,,,,,,species,longline; hook and line; fish trap; spear; gillnet; drumline,2,74,245,202
Coral Triangle,Philippines,Luzon,V,Matnog,restricted,,,,,,species,longline; fish trap; hook and line; drumline; spear; gillnet,2,74,242,199
Coral Triangle,Philippines,Luzon,V,Ticao,restricted,,,,,,species,spear; longline; fish trap; hook and line; drumline; gillnet,2,74,242,198
Coral Triangle,Philippines,Mindoro,V,Apo Reef,closed,Apo Reef Natural Park,34.00,2007,<20km to next reef,high,"entrants, temporal, bag, area, size, effort, species, gear",,2,74,146,195
Coral Triangle,Philippines,Mindoro,V,Sablayan Closed,restricted,,,,,,species,fish trap; hook and line; drumline; longline; spear; gillnet,2,74,146,196
Coral Triangle,Philippines,Mindoro,V,Sablayan Open,restricted,,,,,,species,spear; drumline; hook and line; fish trap; gillnet; longline,2,74,146,197
Coral Triangle,Philippines,Oslob,V,Cabilao,restricted,,,,,,species,hook and line; gillnet; fish trap; drumline; longline; spear,2,74,243,201
Coral Triangle,Philippines,Sulu,V,Tubbataha,closed,Tubbataha Reefs Natural Park,970.30,1988,>20km to next reef,high,"entrants, gear, species, effort, size, temporal, area, bag",,2,74,244,200
Coral Triangle,Solomon Islands,Gizo Area,V,Open,restricted,,,,,,gear,gillnet; drumline; hook and line; spear; longline,2,62,151,328
Coral Triangle,Solomon Islands,Zaira Area,V,Open,restricted,,,,,,"gear, area, effort",spear; hook and line,2,62,152,418
Coral Triangle,Solomon Islands,Zaira Area,V,Protected,restricted,Zaira Periodically Harvested Closure,3.32,2012,continuous,medium,"area, effort",hook and line; spear,2,62,152,345
Coral Triangle,Solomon Islands,Zaira Area,V,x2,openly fished,,,,,,,,2,62,152,419
Coral Triangle,Taiwan,Dongsha,A,Lagoon,closed,Dongsha Atoll National Park,3537.00,2007,>20km to next reef,low,area,hook and line; gillnet; spear; longline; seine,2,71,169,381
Coral Triangle,Taiwan,Dongsha,A,Outer,closed,Dongsha Atoll National Park,3537.00,2007,>20km to next reef,low,area,seine; gillnet; longline; spear; hook and line,2,71,169,369
Coral Triangle,Taiwan,Green Island,V,Green Island,restricted,,,,,,area,spear; longline; hook and line,2,71,226,505
