team,region,location_name,trip_code,set_code,set_date,drop_haul,salinity,conductivity,dissolved_oxygen,tide_state,estimated_wind_speed,measured_wind_speed,wind_direction,cloud_cover,surface_chop,water_temperature
FIU,Western Atlantic,Bahamas,BR_2018_BS_01,BIS_S04,2018-01-20,drop,37.80,,8.2,E,2,,W,60,L,18.9
FIU,Western Atlantic,Bahamas,BR_2018_BS_01,BIS_S04,2018-01-20,haul,,,,,,,,,,
FIU,Western Atlantic,Bahamas,BR_2018_BS_01,S31,2018-03-05,drop,37.30,,8.7,E,1,13,N,6,L,24.3
FIU,Western Atlantic,Bahamas,BR_2018_BS_01,S31,2018-03-05,haul,,,,,,,,,,
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCB2_001,2015-11-06,drop,,,,S2E,,,,,,
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCB2_001,2015-11-06,haul,,,,,,,,,,
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCB2_002,2015-11-06,drop,,,,S2E,,,,,,
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCB2_002,2015-11-06,haul,,,,,,,,,,
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCB2_003,2015-11-06,drop,,,,S2E,,,,,,
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCB2_003,2015-11-06,haul,,,,,,,,,,
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCB2_004,2015-11-06,drop,,,,S2E,,,,,,
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCB2_004,2015-11-06,haul,,,,,,,,,,
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCB2_005,2015-11-06,drop,,,,S2E,,,,,,
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCB2_005,2015-11-06,haul,,,,,,,,,,
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCB2_006,2015-11-06,drop,,,,S2E,,,,,,
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCB2_006,2015-11-06,haul,,,,,,,,,,
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCB2_007,2015-11-06,drop,,,,S2E,,,,,,
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCB2_007,2015-11-06,haul,,,,,,,,,,
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCB2_008,2015-11-06,drop,,,,S2E,,,,,,
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCB2_008,2015-11-06,haul,,,,,,,,,,
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCB2_009,2015-11-06,drop,,,,S2E,,,,,,
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCB2_009,2015-11-06,haul,,,,,,,,,,
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCB2_010,2015-11-06,drop,,,,S2E,,,,,,
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCB2_010,2015-11-06,haul,,,,,,,,,,
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCB2_011,2015-11-06,drop,,,,S2E,,,,,,
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCB2_011,2015-11-06,haul,,,,,,,,,,
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCB2_012,2015-11-06,drop,,,,S2E,,,,,,
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCB2_012,2015-11-06,haul,,,,,,,,,,
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCB2_013,2015-11-06,drop,,,,S2F,,,,,,
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCB2_013,2015-11-06,haul,,,,,,,,,,
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCB2_014,2015-11-06,drop,,,,S2F,,,,,,
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCB2_014,2015-11-06,haul,,,,,,,,,,
AIMS,Pacific,Australia-Pacific,FP_2015_AU-P_01,PCB2_015,2015-11-06,drop,,,,S2F,,,,,,
