"","region_name","location_name","site_name","reef_name","reef_type","trip_code","trip_year","set_code","maxn","common_name","genus","species","species_group","family","event_time_mil","event_time_mins","set_lat","set_long","visibility","depth","bait","current_flow_estimated","current_flow_instrumented","reef_id","set_id","master_set_id","animal_id","field_of_view","substrate_relief_sd","substrate_relief_mean","ascidians","bleached_corals","bryozoa","consolidated","crinoids","halimeda","hard_coral","hydrocoral","hydroids","invertebrate_complex","macroalgae","mangrove","seagrass","soft_coral","sponge","true_anemones","unconsolidated","zoanthids","team","set_date","wkt_coordinates","reef_habitat_name","drop_time","haul_time","equipment_frame_type","equipment_camera","equipment_stereo_camera","equipment_camera_height","equipment_arm_length","bait_preparation","bait_type","bait_oiled","video_file_name","video_source","video_path","comments","message_to_annotators","bruv_image_url","splendor_image_url","reviewed_assignments","total_assignments","master_record_state","site_type","mpa_name","mpa_area","mpa_year_founded","mpa_isolation","mpa_compliance","fishing_restrictions","shark_fishing_gear","region_id","location_id","site_id","location_code","coast_length","HDI_2015","voice_2016","gov_effect_2016","GDP_year","GDP_per_capita_USD","population_2016","tax_haven","shark_sanctuary","reef_catch","shark_catch","reefshark_catch","bechedemer","Grav_Total","protection_status","shark_protection_status","bait_family_specific","bait_family","Remote","temp_est","chloro_est","prec_est","daylight","month","hemisphere","season","coast_type"
"1","Western Atlantic","Bahamas","Abaco","Water Cay Bay","lagoon","FP_2016_BS_11",2016,"ABW_006",NA,"","","","","",NA,"",26.62226,-77.19994,7,4.8,"Pilchards","",NA,489,4888,176,9999,"",0.378,1.8571,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,"FIU","2016-07-03","0101000000624A24D1CB4C53C0E59B6D6E4C9F3A40","lagoon","08:53:00","12:12:00","threaded steel","Mixed Go Pro","False",60,180,"CHP","Pilchards","False","WC06.mp4","","","","","",NA,3,3,"Completed","I","",NA,NA,"","","species, gear, bag, area, size","fish trap; drumline; hook and line; spear",1,3,21,"BS",3542,0.792,0.940302491,0.717308939,2016,28785.47767,391232,1,1,12757.0943,153.1136563,0,0,21,"restricted","Closed","Clupeidae","Clupeidae","No",30.63,0.3227,0.00238171918317676,13.7728869370117,"07","northern","summer","island"
"2","Western Atlantic","Bahamas","Abaco","Water Cay Bay","lagoon","FP_2016_BS_11",2016,"ABW_007",NA,"","","","","",NA,"",26.6257,-77.18713,5,4.77,"Pilchards","",NA,489,4889,11689,9999,"",0.5222,1.4545,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,37,0,"FIU","2016-07-03","01010000006E861BF0F94B53C0711B0DE02DA03A40","lagoon","09:05:00","12:18:00","threaded steel","Mixed Go Pro","False",60,180,"CHP","Pilchards","False","WC07.mp4","","","","","",NA,2,2,"Completed","I","",NA,NA,"","","species, gear, bag, area, size","fish trap; drumline; hook and line; spear",1,3,21,"BS",3542,0.792,0.940302491,0.717308939,2016,28785.47767,391232,1,1,12757.0943,153.1136563,0,0,21,"restricted","Closed","Clupeidae","Clupeidae","No",30.19,0.184,0.00268929917365313,13.7731409191351,"07","northern","summer","island"
"3","Western Atlantic","Bahamas","Abaco","Water Cay Bay","lagoon","FP_2016_BS_11",2016,"ABW_011",NA,"","","","","",NA,"",26.61053,-77.18629,5,4.41,"Pilchards","",NA,489,4893,110,9999,"",0,2,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,40,0,"FIU","2016-07-09","01010000009964E42CEC4B53C0153AAFB14B9C3A40","lagoon","11:40:00","14:50:00","threaded steel","Mixed Go Pro","False",60,180,"CHP","Pilchards","False","WC11.mp4","","","","","",NA,2,2,"Completed","I","",NA,NA,"","","species, gear, bag, area, size","fish trap; drumline; hook and line; spear",1,3,21,"BS",3542,0.792,0.940302491,0.717308939,2016,28785.47767,391232,1,1,12757.0943,153.1136563,0,0,21,"restricted","Closed","Clupeidae","Clupeidae","No",30.19,0.184,0.00268929917365313,13.7223752033863,"07","northern","summer","island"
"4","Western Atlantic","Bahamas","Abaco","Water Cay Bay","lagoon","FP_2016_BS_11",2016,"ABW_020",NA,"","","","","",NA,"",26.60253,-77.18401,5,3.77,"Pilchards","",NA,489,4902,11696,9999,"",0,2,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,"FIU","2016-07-15","0101000000C408E1D1C64B53C0E0DBF4673F9A3A40","lagoon","14:20:00","17:31:00","threaded steel","Mixed Go Pro","False",60,180,"CHP","Pilchards","False","WC20.mp4","","","","","",NA,1,1,"Completed","I","",NA,NA,"","","species, gear, bag, area, size","fish trap; drumline; hook and line; spear",1,3,21,"BS",3542,0.792,0.940302491,0.717308939,2016,28785.47767,391232,1,1,12757.0943,153.1136563,0,0,17,"restricted","Closed","Clupeidae","Clupeidae","No",30.19,0.184,0.00268929917365313,13.6542029769759,"07","northern","summer","island"
"5","Western Atlantic","Bahamas","Abaco","Water Cay Bay","lagoon","FP_2016_BS_11",2016,"ABW_021",NA,"","","","","",NA,"",26.60285,-77.19569,5,4.35,"Pilchards","",NA,489,4903,277,9999,"",0.4472,1.2,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,"FIU","2016-07-15","0101000000DF89592F864C53C0C364AA60549A3A40","lagoon","14:29:00","17:36:00","threaded steel","Mixed Go Pro","False",60,180,"CHP","Pilchards","False","WC21.mp4","","","","","",NA,2,2,"Completed","I","",NA,NA,"","","species, gear, bag, area, size","fish trap; drumline; hook and line; spear",1,3,21,"BS",3542,0.792,0.940302491,0.717308939,2016,28785.47767,391232,1,1,12757.0943,153.1136563,0,0,17,"restricted","Closed","Clupeidae","Clupeidae","No",30.63,0.3227,0.00238171918317676,13.6542248939502,"07","northern","summer","island"
"6","Western Atlantic","Bahamas","Abaco","Water Cay Bay","lagoon","FP_2016_BS_11",2016,"ABW_027",NA,"","","","","",NA,"",26.61371,-77.18641,7,3.89,"Pilchards","",NA,489,4909,11700,9999,"",0.441,1.7778,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,10,0,"FIU","2016-07-16","01010000006E693524EE4B53C0693A3B191C9D3A40","lagoon","13:14:00","16:50:00","threaded steel","Mixed Go Pro","False",60,180,"CHP","Pilchards","False","WC27.mp4","","","","","",NA,3,3,"Completed","I","",NA,NA,"","","species, gear, bag, area, size","fish trap; drumline; hook and line; spear",1,3,21,"BS",3542,0.792,0.940302491,0.717308939,2016,28785.47767,391232,1,1,12757.0943,153.1136563,0,0,21,"restricted","Closed","Clupeidae","Clupeidae","No",30.19,0.184,0.00268929917365313,13.6420597584988,"07","northern","summer","island"
"7","Western Atlantic","Bahamas","Abaco","Water Cay Bay","lagoon","FP_2016_BS_11",2016,"ABW_036",NA,"","","","","",NA,"",26.60548,-77.19635,5,4.2,"Pilchards","",NA,489,4918,11706,9999,"",0.5477,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,"FIU","2016-07-25","0101000000742497FF904C53C0D061BEBC009B3A40","lagoon","15:03:00","18:04:00","threaded steel","Mixed Go Pro","False",60,180,"CHP","Pilchards","False","WC36.mp4","","","","","",NA,2,2,"Completed","I","",NA,NA,"","","species, gear, bag, area, size","fish trap; drumline; hook and line; spear",1,3,21,"BS",3542,0.792,0.940302491,0.717308939,2016,28785.47767,391232,1,1,12757.0943,153.1136563,0,0,17,"restricted","Closed","Clupeidae","Clupeidae","No",30.63,0.3227,0.00238171918317676,13.5063315008914,"07","northern","summer","island"
"8","Western Atlantic","Bahamas","Abaco","Water Cay Bay","lagoon","FP_2016_BS_11",2016,"ABW_046",NA,"","","","","",NA,"",26.61605,-77.17757,5,4.5,"Pilchards","",NA,489,4928,315,9999,"",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,"FIU","2016-07-28","01010000000CB08F4E5D4B53C068B3EA73B59D3A40","lagoon","08:45:00","11:50:00","threaded steel","Mixed Go Pro","False",60,180,"CHP","Pilchards","False","WC46.mp4","","","","","",NA,2,2,"Completed","I","",NA,NA,"","","species, gear, bag, area, size","fish trap; drumline; hook and line; spear",1,3,21,"BS",3542,0.792,0.940302491,0.717308939,2016,28785.47767,391232,1,1,12757.0943,153.1136563,0,0,21,"restricted","Closed","Clupeidae","Clupeidae","No",30.19,0.184,0.00268929917365313,13.4549800282459,"07","northern","summer","island"
"9","Pacific","USA-Pacific","Palmyra Atoll","Reef","flat","LC_2015_US-P_01",2015,"PYR_082",4,"Grey reef shark","Carcharhinus","amblyrhynchos","Shark","Carcharhinidae",1631860,"027:11:860",5.8942,-162.0914,10,0,"Chub mackerel","",NA,194,36210,19196,257,"Open",1.777,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,"SBU","2015-09-09","0101000000575BB1BFEC4264C03255302AA9931740","flat","09:44:00","11:45:00","Mixed","Unknown","True",0,0,"CHP","Chub mackerel","False","PYR_082.mp4","S3","","Legacy site name: Western_Tip","","",NA,1,1,"Completed","C","",NA,NA,"","","","",3,66,145,"US-P",85.7,0.92,1.103929162,1.481050014,2016,57638.15909,323127513,0,0,210.7308105,1975.176545,0,0,0,"openly fished","Closed","Scombridae","Scombridae","Yes",30.19,0.0502,0.0758371278643608,12.1900860243766,"09","northern","shoulder","closed atoll"
"10","Pacific","USA-Pacific","Palmyra Atoll","Reef","flat","LC_2015_US-P_01",2015,"PYR_082",1,"Whitetip reef shark","Triaenodon","obesus","Shark","Carcharhinidae",647045,"010:47:045",5.8942,-162.0914,10,0,"Chub mackerel","",NA,194,36210,19196,144,"Open",1.777,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,"SBU","2015-09-09","0101000000575BB1BFEC4264C03255302AA9931740","flat","09:44:00","11:45:00","Mixed","Unknown","True",0,0,"CHP","Chub mackerel","False","PYR_082.mp4","S3","","Legacy site name: Western_Tip","","",NA,1,1,"Completed","C","",NA,NA,"","","","",3,66,145,"US-P",85.7,0.92,1.103929162,1.481050014,2016,57638.15909,323127513,0,0,210.7308105,1975.176545,0,0,0,"openly fished","Closed","Scombridae","Scombridae","Yes",30.19,0.0502,0.0758371278643608,12.1900860243766,"09","northern","shoulder","closed atoll"
