"set_id","maxn","ingestion_C_g_day","set_lat","set_long","reef_id","location_id","region_id","mpa_compliance","shark_protection_status","shark_sanctuary","HDI_2015","gov_effect_2016","population_2016","Grav_Total","mpa_present","gear_limits","species_limits","catch_limits","effort_limits","size_limits","temporal_limits"
"2",0,0,24.04949,-74.53631,"74","3","1","0","Closed","1",-0.0785835082528248,0.0251538185436723,-0.477708323794242,-0.338773162141973,"0","1","1","0","1","1","0"
"3",0,0,24.05842,-74.53868,"74","3","1","0","Closed","1",-0.0785835082528248,0.0251538185436723,-0.477708323794242,-0.338773162141973,"0","1","1","0","1","1","0"
"12",1,72,-13.897849,144.208954,"226","73","3","1","Closed","0",0.475497072904511,0.527227932378156,0.258999150279363,-0.642945910105196,"1","0","0","0","0","0","0"
"13",3,578,-13.888882,144.209298,"226","73","3","1","Closed","0",0.475497072904511,0.527227932378156,0.258999150279363,-0.642945910105196,"1","0","0","0","0","0","0"
"14",1,253,-13.884585,144.216185,"226","73","3","1","Closed","0",0.475497072904511,0.527227932378156,0.258999150279363,-0.642945910105196,"1","0","0","0","0","0","0"
"15",0,0,-13.888148,144.225,"226","73","3","1","Closed","0",0.475497072904511,0.527227932378156,0.258999150279363,-0.642945910105196,"1","0","0","0","0","0","0"
"46",1,253,-12.208591,123.00626,"357","85","4","1","Closed","0",0.475497072904511,0.527227932378156,0.258999150279363,-0.338773162141973,"1","0","0","0","0","0","0"
"47",0,0,-12.209783,122.997817,"357","85","4","1","Closed","0",0.475497072904511,0.527227932378156,0.258999150279363,-0.338773162141973,"1","0","0","0","0","0","0"
"48",1,253,-12.21011,122.990176,"357","85","4","1","Closed","0",0.475497072904511,0.527227932378156,0.258999150279363,-0.338773162141973,"1","0","0","0","0","0","0"
"49",1,253,-12.222776,122.948185,"357","85","4","1","Closed","0",0.475497072904511,0.527227932378156,0.258999150279363,-0.338773162141973,"1","0","0","0","0","0","0"
"52",0,0,3.9895401,73.5203018,"180","91","4","0","Closed","1",-0.421585772778795,-0.579159860501505,-0.466096907058564,0.0450262252726805,"0","1","1","0","0","0","0"
"225",0,0,23.86269,-75.13101,"64","3","1","0","Closed","1",-0.0785835082528248,0.0251538185436723,-0.477708323794242,-0.289812285507746,"1","1","1","0","1","1","0"
"226",0,0,23.85583,-75.12792,"64","3","1","0","Closed","1",-0.0785835082528248,0.0251538185436723,-0.477708323794242,-0.289812285507746,"1","1","1","0","1","1","0"
"229",1,510,23.85651,-75.1285,"64","3","1","0","Closed","1",-0.0785835082528248,0.0251538185436723,-0.477708323794242,-0.289812285507746,"1","1","1","0","1","1","0"
"234",2,2150,23.81378,-75.12799,"64","3","1","0","Closed","1",-0.0785835082528248,0.0251538185436723,-0.477708323794242,-0.249808336492077,"1","1","1","0","1","1","0"
"236",0,0,23.84591,-75.12806,"64","3","1","0","Closed","1",-0.0785835082528248,0.0251538185436723,-0.477708323794242,-0.289812285507746,"1","1","1","0","1","1","0"
"238",0,0,23.84372,-75.12913,"64","3","1","0","Closed","1",-0.0785835082528248,0.0251538185436723,-0.477708323794242,0.378199344698932,"1","1","1","0","1","1","0"
"239",0,0,23.83797,-75.13312,"64","3","1","0","Closed","1",-0.0785835082528248,0.0251538185436723,-0.477708323794242,-0.249808336492077,"1","1","1","0","1","1","0"
"240",1,510,23.8093,-75.1193,"64","3","1","0","Closed","1",-0.0785835082528248,0.0251538185436723,-0.477708323794242,-0.249808336492077,"1","1","1","0","1","1","0"
"242",0,0,23.83119,-75.13342,"64","3","1","0","Closed","1",-0.0785835082528248,0.0251538185436723,-0.477708323794242,-0.249808336492077,"1","1","1","0","1","1","0"
"244",0,0,23.85606,-75.13329,"64","3","1","0","Closed","1",-0.0785835082528248,0.0251538185436723,-0.477708323794242,-0.289812285507746,"1","1","1","0","1","1","0"
"249",1,510,23.80874,-75.07844,"64","3","1","0","Closed","1",-0.0785835082528248,0.0251538185436723,-0.477708323794242,-0.0346004141787504,"1","1","1","0","1","1","0"
"252",1,1640,23.84856,-75.12766,"64","3","1","0","Closed","1",-0.0785835082528248,0.0251538185436723,-0.477708323794242,-0.289812285507746,"1","1","1","0","1","1","0"
"254",1,510,23.79648,-75.07997,"64","3","1","0","Closed","1",-0.0785835082528248,0.0251538185436723,-0.477708323794242,-0.289812285507746,"1","1","1","0","1","1","0"
"256",1,1640,23.84303,-75.12922,"64","3","1","0","Closed","1",-0.0785835082528248,0.0251538185436723,-0.477708323794242,-0.289812285507746,"1","1","1","0","1","1","0"
"257",0,0,23.84942,-75.12768,"64","3","1","0","Closed","1",-0.0785835082528248,0.0251538185436723,-0.477708323794242,-0.289812285507746,"1","1","1","0","1","1","0"
"259",2,1020,23.79423,-75.09388,"64","3","1","0","Closed","1",-0.0785835082528248,0.0251538185436723,-0.477708323794242,-0.249808336492077,"1","1","1","0","1","1","0"
"260",1,510,23.80431,-75.07716,"64","3","1","0","Closed","1",-0.0785835082528248,0.0251538185436723,-0.477708323794242,-0.289812285507746,"1","1","1","0","1","1","0"
"261",2,1020,23.79536,-75.0811,"64","3","1","0","Closed","1",-0.0785835082528248,0.0251538185436723,-0.477708323794242,-0.289812285507746,"1","1","1","0","1","1","0"
"263",0,0,23.8525,-75.12795,"64","3","1","0","Closed","1",-0.0785835082528248,0.0251538185436723,-0.477708323794242,-0.289812285507746,"1","1","1","0","1","1","0"
"264",0,0,23.84248,-75.13049,"64","3","1","0","Closed","1",-0.0785835082528248,0.0251538185436723,-0.477708323794242,-0.289812285507746,"1","1","1","0","1","1","0"
"265",0,0,23.85274,-75.12913,"64","3","1","0","Closed","1",-0.0785835082528248,0.0251538185436723,-0.477708323794242,-0.289812285507746,"1","1","1","0","1","1","0"
"307",1,72,6.0306,116.0055667,"327","100","2","1","Closed","0",-0.0898912752152195,0.120237535425416,0.304875322392614,0.516264313415868,"1","0","0","0","1","0","0"
"342",0,0,4.63725,118.74075,"402","100","2","0","Restricted","0",-0.0898912752152195,0.120237535425416,0.304875322392614,0.0881872684331971,"1","0","1","0","0","0","0"
"343",0,0,4.6384167,118.73472,"402","100","2","0","Restricted","0",-0.0898912752152195,0.120237535425416,0.304875322392614,0.0881872684331971,"1","0","1","0","0","0","0"
"345",0,0,4.63755,118.7201,"402","100","2","0","Restricted","0",-0.0898912752152195,0.120237535425416,0.304875322392614,0.0881872684331971,"1","0","1","0","0","0","0"
"350",0,0,4.6102,118.718383,"402","100","2","0","Restricted","0",-0.0898912752152195,0.120237535425416,0.304875322392614,0.0881872684331971,"1","0","1","0","0","0","0"
"351",0,0,4.60011667,118.718567,"402","100","2","0","Restricted","0",-0.0898912752152195,0.120237535425416,0.304875322392614,0.0881872684331971,"1","0","1","0","0","0","0"
"352",0,0,4.59755,118.71265,"402","100","2","0","Restricted","0",-0.0898912752152195,0.120237535425416,0.304875322392614,0.0881872684331971,"1","0","1","0","0","0","0"
"355",0,0,4.5922167,118.71283,"402","100","2","0","Restricted","0",-0.0898912752152195,0.120237535425416,0.304875322392614,0.0881872684331971,"1","0","1","0","0","0","0"
"358",1,253,-12.172803,123.062235,"400","85","4","1","Closed","0",0.475497072904511,0.527227932378156,0.258999150279363,-0.338773162141973,"1","0","0","0","0","0","0"
