trip_set_code,region_name,region_id,location_name,location_code,location_id,site_name,site_code,site_type,site_id,reef_name,reef_code,reef_type,reef_id,trip_year,trip_code,set_code,set_id,set_latitude,set_longitude,team,set_date,drop_time,haul_time,shark_id,common_name,latin_name,family,species_group,functional_group,maxn,min_event_time_milli,min_event_time_mins,equipment_frame_type,equipment_camera,equipment_stereo_camera,equipment_camera_height,equipment_arm_length,video_filename,video_source,video_filepath,splendor_image_url,total_assignments,reviewed_assignments,has_complete_master,depth,bait,bait_oiled,current_flow_estimated,current_flow_instrumented,visibility,field_of_view,substrate_relief_sd,substrate_relief_mean,ascidians,bleached_corals,bryozoa,consolidated,crinoids,halimeda,hard_coral,hydrocoral,hydroids,invertebrate_complex,macroalgae,mangrove,seagrass,soft_coral,sponge,true_anemones,unconsolidated,zoanthids,mark_zero_time,mark_60_mins,mark_90_mins,mark_haul_time,mark_stopped_reading,video_length_watched,protection_status,mpa_name,mpa_area,mpa_year_founded,mpa_isolation,mpa_compliance,bait_family,PI,Remote,Shark_Protection_Status,Shark_fishing_restrictions,Shark_gears,Datasheet_Source,set_productivity_2017ave,local_population_2010,local_population_2015,population_proporationaldifference_2010.15,drop_hr
FP_2015_AU-P_01_PCB2_001,Pacific,3,Australia-Pacific,AU-P,73,Northern GBR 1,PCB,B,153,13-124,2,slope,227,2015,FP_2015_AU-P_01,PCB2_001,1998,-13.8,144,AIMS,6/11/2015,8:05:00,9:10:00,NA,,,,,,0,NA,,Stainless rebar,GoPro Hero 4,FALSE,50,100,FP_2015_AU-P_01_PCB2_001.mp4,,,NA,2,2,1,17.5,Pilchards,FALSE,,NA,3,Open,0,1,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,85328,3685349,NA,3907946,NA,3822618,restricted,GBRMPA 13-124 Habitat Protection Zone,69.3,2004,<20km to next reef,high,Clupeidae,Heupel,No,Restricted,Species; Bag; Entrants; Gear; Area,Hook & Line; Drumline; Trawl;,Additional Reef Covariates - Pacific Indian Simpfendorder Heupel,0.106081313,626.0966595,626.1524151,8.91E-05,8
FP_2015_AU-P_01_PCB2_002,Pacific,3,Australia-Pacific,AU-P,73,Northern GBR 1,PCB,B,153,13-124,2,slope,227,2015,FP_2015_AU-P_01,PCB2_002,1999,-13.8,144,AIMS,6/11/2015,8:10:00,,NA,,,,,,0,NA,,Stainless rebar,GoPro Hero 4,FALSE,50,100,FP_2015_AU-P_01_PCB2_002.mp4,,,NA,2,2,1,18,Pilchards,FALSE,,NA,3,Open,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,159804,3759836,NA,4150609,NA,3990805,restricted,GBRMPA 13-124 Habitat Protection Zone,69.3,2004,<20km to next reef,high,Clupeidae,Heupel,No,Restricted,Species; Bag; Entrants; Gear; Area,Hook & Line; Drumline; Trawl;,Additional Reef Covariates - Pacific Indian Simpfendorder Heupel,0.106081313,626.7554446,626.8112588,8.91E-05,8
FP_2015_AU-P_01_PCB2_003,Pacific,3,Australia-Pacific,AU-P,73,Northern GBR 1,PCB,B,153,13-124,2,slope,227,2015,FP_2015_AU-P_01,PCB2_003,2000,-13.8,144,AIMS,6/11/2015,8:15:00,,NA,,,,,,0,NA,,Stainless rebar,GoPro Hero 4,FALSE,50,100,FP_2015_AU-P_01_PCB2_003.mp4,,,NA,2,2,1,18,Pilchards,FALSE,,NA,3,Open,0,1,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,180890,3780891,NA,3785111,NA,3604221,restricted,GBRMPA 13-124 Habitat Protection Zone,69.3,2004,<20km to next reef,high,Clupeidae,Heupel,No,Restricted,Species; Bag; Entrants; Gear; Area,Hook & Line; Drumline; Trawl;,Additional Reef Covariates - Pacific Indian Simpfendorder Heupel,0.106081313,627.6933771,627.7492748,8.91E-05,8
FP_2015_AU-P_01_PCB2_004,Pacific,3,Australia-Pacific,AU-P,73,Northern GBR 1,PCB,B,153,13-124,2,slope,227,2015,FP_2015_AU-P_01,PCB2_004,2001,-13.8,144,AIMS,6/11/2015,8:23:00,9:40:00,21,Great hammerhead shark,Sphyrna mokarran,Sphyrnidae,Shark,apex,1,985808,016:25:808,Stainless rebar,GoPro Hero 4,FALSE,50,100,FP_2015_AU-P_01_PCB2_004.mp4,,,NA,2,2,1,15,Pilchards,FALSE,,NA,5,Open,0,1,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,325900,3925905,NA,4687884,NA,4361984,restricted,GBRMPA 13-124 Habitat Protection Zone,69.3,2004,<20km to next reef,high,Clupeidae,Heupel,No,Restricted,Species; Bag; Entrants; Gear; Area,Hook & Line; Drumline; Trawl;,Additional Reef Covariates - Pacific Indian Simpfendorder Heupel,0.106081313,628.5279622,628.5839342,8.91E-05,8
FP_2015_AU-P_01_PCB2_005,Pacific,3,Australia-Pacific,AU-P,73,Northern GBR 1,PCB,B,153,13-124,2,slope,227,2015,FP_2015_AU-P_01,PCB2_005,2002,-13.8,144,AIMS,6/11/2015,8:31:00,9:50:00,NA,,,,,,0,NA,,Stainless rebar,GoPro Hero 4,FALSE,50,100,FP_2015_AU-P_01_PCB2_005.mp4,,,NA,2,2,1,19,Pilchards,FALSE,,NA,7,Open,0,2,0,0,0,83,0,0,0,0,0,0,0,0,0,16,0,0,0,0,295436,3895436,NA,4769400,NA,4473964,restricted,GBRMPA 13-124 Habitat Protection Zone,69.3,2004,<20km to next reef,high,Clupeidae,Heupel,No,Restricted,Species; Bag; Entrants; Gear; Area,Hook & Line; Drumline; Trawl;,Additional Reef Covariates - Pacific Indian Simpfendorder Heupel,0.106081313,625.4742577,625.5299577,8.91E-05,8
FP_2015_AU-P_01_PCB2_006,Pacific,3,Australia-Pacific,AU-P,73,Northern GBR 1,PCB,B,153,13-124,2,slope,227,2015,FP_2015_AU-P_01,PCB2_006,2003,-13.8,144,AIMS,6/11/2015,8:39:00,9:59:00,144,Whitetip reef shark,Triaenodon obesus,Carcharhinidae,Shark,reef_meso,1,1992253,033:12:253,Stainless rebar,GoPro Hero 4,FALSE,50,100,FP_2015_AU-P_01_PCB2_006.mp4,,,NA,2,2,1,19,Pilchards,FALSE,,NA,5,Open,0.4671,1.2727,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,9,0,58529,3658511,NA,4749510,NA,4690981,restricted,GBRMPA 13-124 Habitat Protection Zone,69.3,2004,<20km to next reef,high,Clupeidae,Heupel,No,Restricted,Species; Bag; Entrants; Gear; Area,Hook & Line; Drumline; Trawl;,Additional Reef Covariates - Pacific Indian Simpfendorder Heupel,0.106081313,625.6579555,625.713672,8.91E-05,8
FP_2015_AU-P_01_PCB2_006,Pacific,3,Australia-Pacific,AU-P,73,Northern GBR 1,PCB,B,153,13-124,2,slope,227,2015,FP_2015_AU-P_01,PCB2_006,2003,-13.8,144,AIMS,6/11/2015,8:39:00,9:59:00,257,Grey reef shark,Carcharhinus amblyrhynchos,Carcharhinidae,Shark,reef_meso,2,3003565,050:03:565,Stainless rebar,GoPro Hero 4,FALSE,50,100,FP_2015_AU-P_01_PCB2_006.mp4,,,NA,2,2,1,19,Pilchards,FALSE,,NA,5,Open,0.4671,1.2727,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,9,0,58529,3658511,NA,4749510,NA,4690981,restricted,GBRMPA 13-124 Habitat Protection Zone,69.3,2004,<20km to next reef,high,Clupeidae,Heupel,No,Restricted,Species; Bag; Entrants; Gear; Area,Hook & Line; Drumline; Trawl;,Additional Reef Covariates - Pacific Indian Simpfendorder Heupel,0.106081313,625.6579555,625.713672,8.91E-05,8
FP_2015_AU-P_01_PCB2_007,Pacific,3,Australia-Pacific,AU-P,73,Northern GBR 1,PCB,B,153,13-124,2,slope,227,2015,FP_2015_AU-P_01,PCB2_007,2004,-13.8,144,AIMS,6/11/2015,10:17:00,11:24:00,292,Requiem Shark,Unknown sp.,Carcharhinidae,Shark,na,1,982736,016:22:736,Stainless rebar,GoPro Hero 4,FALSE,50,100,FP_2015_AU-P_01_PCB2_007.mp4,,,NA,2,2,1,21.2,Pilchards,FALSE,,NA,5,Open,1.0541,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,70,0,131446,3731484,NA,4107032,NA,3975586,restricted,GBRMPA 13-124 Habitat Protection Zone,69.3,2004,<20km to next reef,high,Clupeidae,Heupel,No,Restricted,Species; Bag; Entrants; Gear; Area,Hook & Line; Drumline; Trawl;,Additional Reef Covariates - Pacific Indian Simpfendorder Heupel,0.106081313,627.6367384,627.692631,8.91E-05,10
FP_2015_AU-P_01_PCB2_007,Pacific,3,Australia-Pacific,AU-P,73,Northern GBR 1,PCB,B,153,13-124,2,slope,227,2015,FP_2015_AU-P_01,PCB2_007,2004,-13.8,144,AIMS,6/11/2015,10:17:00,11:24:00,257,Grey reef shark,Carcharhinus amblyrhynchos,Carcharhinidae,Shark,reef_meso,1,567254,009:27:254,Stainless rebar,GoPro Hero 4,FALSE,50,100,FP_2015_AU-P_01_PCB2_007.mp4,,,NA,2,2,1,21.2,Pilchards,FALSE,,NA,5,Open,1.0541,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,70,0,131446,3731484,NA,4107032,NA,3975586,restricted,GBRMPA 13-124 Habitat Protection Zone,69.3,2004,<20km to next reef,high,Clupeidae,Heupel,No,Restricted,Species; Bag; Entrants; Gear; Area,Hook & Line; Drumline; Trawl;,Additional Reef Covariates - Pacific Indian Simpfendorder Heupel,0.106081313,627.6367384,627.692631,8.91E-05,10
FP_2015_AU-P_01_PCB2_008,Pacific,3,Australia-Pacific,AU-P,73,Northern GBR 1,PCB,B,153,13-124,2,slope,227,2015,FP_2015_AU-P_01,PCB2_008,2005,-13.8,144,AIMS,6/11/2015,10:26:00,11:34:00,100,Mangrove whipray,Urogymnus granulatus,Dasyatidae,Ray,large_ray,1,294750,004:54:750,Stainless rebar,GoPro Hero 4,FALSE,50,100,FP_2015_AU-P_01_PCB2_008.mp4,,,NA,2,1,1,8.9,Pilchards,FALSE,,NA,5,Open,0,2,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,10,0,130044,3730057,NA,4222920,NA,4092876,restricted,GBRMPA 13-124 Habitat Protection Zone,69.3,2004,<20km to next reef,high,Clupeidae,Heupel,No,Restricted,Species; Bag; Entrants; Gear; Area,Hook & Line; Drumline; Trawl;,Additional Reef Covariates - Pacific Indian Simpfendorder Heupel,0.106081313,627.2169873,627.2728427,8.91E-05,10
