Species,common_name,TL (cm),% of Linf,Ic_mean,Ic_sd,Ic_se,Wc_mean,Wc_sd,Wc_se,Ic_median,Ic_2.5.,Ic_97.5.,Wc_median,Wc_2.5.,Wc_97.5.
Carcharhinus amblyrhynchos,Grey reef shark,81,50,8.898672105,6.453782474,0.288621926,1.779734421,1.290756495,0.057724385,7.178168034,2.580713838,25.52785911,1.435633607,0.516142767,5.10557182
Carcharhinus amblyrhynchos,Grey reef shark,122,75,31.55536241,21.58754768,0.965424481,6.311072483,4.317509535,0.193084896,26.20757601,7.825702856,95.89877779,5.241515202,1.565140571,19.17975556
Carcharhinus amblyrhynchos,Grey reef shark,163,100,76.45063137,58.71598316,2.625858594,15.29012627,11.74319663,0.525171719,61.86847838,20.28062202,221.3460876,12.37369567,4.056124404,44.26921749
Carcharhinus melanopterus,Blacktip reef shark,79,50,6.98402359,5.995357825,0.268120553,1.396804718,1.199071565,0.053624111,5.091790186,1.532895752,21.40792133,1.018358037,0.30657915,4.281584266
Carcharhinus melanopterus,Blacktip reef shark,119,75,19.97008783,16.26612134,0.727443061,3.994017566,3.253224267,0.145488612,15.74734685,3.6314833,57.71795586,3.149469372,0.72629666,11.54359117
Carcharhinus melanopterus,Blacktip reef shark,158,100,45.13080763,38.29179711,1.712461226,9.026161526,7.658359423,0.342492245,34.46945162,8.84886323,143.5745638,6.893890323,1.769772646,28.71491275
Carcharhinus perezi,Caribbean reef shark,145,50,43.57769963,47.94711247,2.144260056,8.715539926,9.589422493,0.428852011,27.2296665,3.611754708,164.7573695,5.445933298,0.722350942,32.95147391
Carcharhinus perezi,Caribbean reef shark,217,75,129.7440814,169.3505086,7.573584986,25.94881628,33.87010172,1.514716997,75.28125263,12.50227551,573.2034002,15.05625054,2.500455102,114.64068
Carcharhinus perezi,Caribbean reef shark,289,100,313.9768644,421.6772379,18.85797937,62.79537289,84.33544759,3.771595875,184.6767417,22.05855118,1341.599856,36.93534835,4.411710237,268.3199714
Ginglymostoma cirratum,,151,50,37.22208552,56.8155395,2.54086817,7.444417105,11.3631079,0.508173634,18.76104053,2.561509702,195.3299341,3.752208106,0.51230194,39.06598679
Ginglymostoma cirratum,,227,75,113.2765897,180.594936,8.076451064,22.65531795,36.11898719,1.615290213,59.58014723,5.667541259,563.764561,11.91602945,1.133508252,112.7529122
Ginglymostoma cirratum,,303,100,335.2869709,628.7415991,28.11817912,67.05739417,125.7483198,5.623635823,137.3464371,14.00407018,1875.633016,27.46928743,2.800814037,375.1266031
Triaenodon obesus,White tip reef shark,101,50,12.14537073,7.989674039,0.357309085,2.429074145,1.597934808,0.071461817,10.47175061,3.052017926,30.06280037,2.094350121,0.610403585,6.012560073
Triaenodon obesus,White tip reef shark,151,75,38.44507672,29.65410824,1.326172037,7.689015344,5.930821648,0.265234407,31.45473053,10.30087772,107.4811497,6.290946102,2.060175543,21.49622994
Triaenodon obesus,White tip reef shark,202,100,96.99456636,84.20907505,3.765944323,19.39891327,16.84181501,0.753188865,79.21442032,20.94562666,273.5765958,15.84288406,4.189125333,54.71531918
Carcharhinus galapagensis,,150,50,78.73076,124.5149,5.568476,15.74615,24.90298,1.113695,38.53772,3.556962,405.3902,7.707544,0.7113924,81.07804
Carcharhinus galapagensis,,224,75,277.53405,426.0047,19.05151,55.50681,85.20094,3.810302,134.7905,12.957809,1527.6667,26.958099,2.5915619,305.53334
Carcharhinus galapagensis,,299,100,694.52969,1193.9333,53.394321,138.90594,238.78666,10.678864,314.50419,29.139807,3807.4727,62.900837,5.8279614,761.49454
Carcharhinus leucas,,128,50,48.30954,117.9622,5.275429,9.661908,23.59243,1.055086,13.90593,0.803678,292.6508,2.781187,0.1607356,58.53016
Carcharhinus leucas,,192,75,147.0849,427.6725,19.126097,29.41698,85.53451,3.825219,43.45934,2.398407,794.2911,8.691868,0.4796814,158.85823
Carcharhinus leucas,,256,100,380.76592,1039.167,46.472963,76.153183,207.83341,9.294593,80.24171,3.742336,3114.2212,16.048341,0.7484671,622.84425
Carcharhinus limbatus,,83,50,15.29324,77.75258,3.477201,3.058649,15.55052,0.6954402,2.12353,0.07102193,84.4537,0.424706,0.01420439,16.89074
Carcharhinus limbatus,,124,75,30.89974,142.6846,6.381049,6.179947,28.53692,1.2762099,5.575567,0.21976573,178.7075,1.115113,0.04395315,35.7415
Carcharhinus limbatus,,166,100,68.77813,185.73733,8.306426,13.755626,37.14747,1.6612852,15.99164,0.35191008,415.4531,3.198328,0.07038202,83.09062
Carcharhinus plumbeus,,105,50,34.91653,99.28753,4.440273,6.983306,19.85751,0.8880547,8.675123,0.3077417,225.2292,1.735025,0.06154833,45.04583
Carcharhinus plumbeus,,158,75,119.90057,470.64536,21.0479,23.980113,94.12907,4.2095801,27.772086,1.0856913,761.758,5.554417,0.21713826,152.3516
Carcharhinus plumbeus,,211,100,240.71092,581.67989,26.013516,48.142183,116.33598,5.2027031,53.092997,2.6920866,1901.4053,10.618599,0.53841732,380.28106
Galeocerdo cuvier,,207,50,213.8691,319.7659,14.30037,42.77382,63.95318,2.860073,108.3325,11.72418,981.5768,21.6665,2.344835,196.3154
Galeocerdo cuvier,,311,75,594.4758,888.7041,39.74405,118.89517,177.74082,7.948811,316.2444,35.73465,2737.8314,63.24887,7.14693,547.5663
Galeocerdo cuvier,,414,100,1682.3721,4553.5479,203.64085,336.47443,910.70957,40.72817,733.3666,71.51867,8068.7411,146.67331,14.303734,1613.7482
Ginglymostoma cirratum,Nurse shark,152,50,31.66158,52.64261,2.354249,6.332316,10.52852,0.4708498,16.41147,2.580003,135.4309,3.282294,0.5160007,27.08618
Ginglymostoma cirratum,Nurse shark,227,75,120.58095,187.03653,8.364528,24.116189,37.40731,1.6729056,62.49249,6.127267,576.0946,12.498498,1.2254533,115.21892
Ginglymostoma cirratum,Nurse shark,303,100,252.5553,361.95323,16.187041,50.51106,72.39065,3.2374081,127.77225,13.06264,1246.4267,25.554451,2.6125279,249.28534
Rhizoprionodon acutus,,50,50,1.377898,0.3379526,0.0151137,0.2755796,0.06759052,0.00302274,1.343398,0.9039795,2.107685,0.2686795,0.1807959,0.4215369
Rhizoprionodon acutus,,75,75,4.252232,1.0796435,0.04828313,0.8504463,0.2159287,0.009656625,4.051614,2.6079739,6.671129,0.8103227,0.5215948,1.3342258
Rhizoprionodon acutus,,100,100,9.831164,2.4534175,0.10972017,1.9662329,0.49068351,0.021944034,9.555072,5.9690702,15.089762,1.9110143,1.193814,3.0179525
Sphyrna lewini,,166,50,94.91937,211.929,9.477755,18.98387,42.38581,1.895551,19.81647,0.7499395,807.4308,3.963294,0.1499879,161.4862
Sphyrna lewini,,248,75,424.41832,1378.144,61.632463,84.88366,275.62875,12.326493,62.89769,2.2164675,4131.6009,12.579538,0.4432935,826.3202
Sphyrna lewini,,331,100,1139.38653,3619.091,161.85068,227.87731,723.81824,32.370136,163.74967,5.6898433,11402.1508,32.749935,1.1379687,2280.4302
Sphyrna tiburo,,56,50,1.138481,0.8014358,0.0358413,0.2276961,0.1602872,0.007168259,0.9263957,0.2885543,3.047559,0.1852791,0.05771086,0.6095118
Sphyrna tiburo,,83,75,3.441022,2.6617795,0.1190384,0.6882045,0.5323559,0.023807679,2.7661977,0.7186968,10.686873,0.5532395,0.14373936,2.1373746
Sphyrna tiburo,,111,100,8.074723,6.0299044,0.2696655,1.6149446,1.2059809,0.053933104,6.5305104,1.6676641,26.034156,1.3061021,0.33353281,5.2068312
