Species,TL (cm),% of Linf,Ic_mean,Ic_sd,Ic_se,Wc_mean,Wc_sd,Wc_se,Ic_median,Ic_2.5.,Ic_97.5.,Wc_median,Wc_2.5.,Wc_97.5.
Carcharhinus amblyrhynchos,81,50,8.898672105,6.453782474,0.288621926,1.779734421,1.290756495,0.057724385,7.178168034,2.580713838,25.52785911,1.435633607,0.516142767,5.10557182
Carcharhinus amblyrhynchos,122,75,31.55536241,21.58754768,0.965424481,6.311072483,4.317509535,0.193084896,26.20757601,7.825702856,95.89877779,5.241515202,1.565140571,19.17975556
Carcharhinus amblyrhynchos,163,100,76.45063137,58.71598316,2.625858594,15.29012627,11.74319663,0.525171719,61.86847838,20.28062202,221.3460876,12.37369567,4.056124404,44.26921749
Carcharhinus melanopterus,79,50,6.98402359,5.995357825,0.268120553,1.396804718,1.199071565,0.053624111,5.091790186,1.532895752,21.40792133,1.018358037,0.30657915,4.281584266
Carcharhinus melanopterus,119,75,19.97008783,16.26612134,0.727443061,3.994017566,3.253224267,0.145488612,15.74734685,3.6314833,57.71795586,3.149469372,0.72629666,11.54359117
Carcharhinus melanopterus,158,100,45.13080763,38.29179711,1.712461226,9.026161526,7.658359423,0.342492245,34.46945162,8.84886323,143.5745638,6.893890323,1.769772646,28.71491275
Carcharhinus perezi,145,50,43.57769963,47.94711247,2.144260056,8.715539926,9.589422493,0.428852011,27.2296665,3.611754708,164.7573695,5.445933298,0.722350942,32.95147391
Carcharhinus perezi,217,75,129.7440814,169.3505086,7.573584986,25.94881628,33.87010172,1.514716997,75.28125263,12.50227551,573.2034002,15.05625054,2.500455102,114.64068
Carcharhinus perezi,289,100,313.9768644,421.6772379,18.85797937,62.79537289,84.33544759,3.771595875,184.6767417,22.05855118,1341.599856,36.93534835,4.411710237,268.3199714
Ginglymostoma cirratum,151,50,37.22208552,56.8155395,2.54086817,7.444417105,11.3631079,0.508173634,18.76104053,2.561509702,195.3299341,3.752208106,0.51230194,39.06598679
Ginglymostoma cirratum,227,75,113.2765897,180.594936,8.076451064,22.65531795,36.11898719,1.615290213,59.58014723,5.667541259,563.764561,11.91602945,1.133508252,112.7529122
Ginglymostoma cirratum,303,100,335.2869709,628.7415991,28.11817912,67.05739417,125.7483198,5.623635823,137.3464371,14.00407018,1875.633016,27.46928743,2.800814037,375.1266031
Triaenodon obesus,101,50,12.14537073,7.989674039,0.357309085,2.429074145,1.597934808,0.071461817,10.47175061,3.052017926,30.06280037,2.094350121,0.610403585,6.012560073
Triaenodon obesus,151,75,38.44507672,29.65410824,1.326172037,7.689015344,5.930821648,0.265234407,31.45473053,10.30087772,107.4811497,6.290946102,2.060175543,21.49622994
Triaenodon obesus,202,100,96.99456636,84.20907505,3.765944323,19.39891327,16.84181501,0.753188865,79.21442032,20.94562666,273.5765958,15.84288406,4.189125333,54.71531918
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Ic= Ingestion of carbon (g/day),,,,,,,,,,,,,,
Wc = Egestion of carbon (g/day),,,,,,,,,,,,,,
