"set_id","shark_trophic_group","shark_trophic_numeric","sum_shark_trophic","set_composition"
"19366","lower order",1,1,"lower"
"36210","lower order",1,1,"lower"
"36263","lower order",1,1,"lower"
"36362","lower order",1,1,"lower"
"36363","lower order",1,1,"lower"
"36364","lower order",1,1,"lower"
"33238","lower order",1,1,"lower"
"33239","lower order",1,1,"lower"
"15953","lower order",1,1,"lower"
"19368","lower order",1,1,"lower"
"19369","lower order",1,1,"lower"
"19370","lower order",1,1,"lower"
"19371","lower order",1,1,"lower"
"19372","lower order",1,1,"lower"
"19373","lower order",1,1,"lower"
"19374","lower order",1,1,"lower"
"2149","lower order",1,1,"lower"
"2164","lower order",1,1,"lower"
"2172","lower order",1,1,"lower"
"16552","lower order",1,1,"lower"
"16330","lower order",1,1,"lower"
"15944","lower order",1,1,"lower"
"15955","lower order",1,1,"lower"
"15949","lower order",1,1,"lower"
"16327","lower order",1,1,"lower"
"16328","lower order",1,1,"lower"
"16335","lower order",1,1,"lower"
"27315","lower order",1,1,"lower"
"19133","lower order",1,1,"lower"
"19158","lower order",1,1,"lower"
"15776","lower order",1,1,"lower"
"15939","lower order",1,1,"lower"
"15954","lower order",1,1,"lower"
"2185","lower order",1,1,"lower"
"16553","lower order",1,1,"lower"
"15942","lower order",1,1,"lower"
"19171","lower order",1,1,"lower"
"1609","lower order",1,1,"lower"
"1639","lower order",1,1,"lower"
"1666","lower order",1,3,"apex"
"1666","apex",2,3,"apex"
"1671","lower order",1,1,"lower"
"1661","lower order",1,1,"lower"
"19375","lower order",1,1,"lower"
"2216","lower order",1,1,"lower"
"2219","lower order",1,1,"lower"
"2227","lower order",1,1,"lower"
"2236","lower order",1,1,"lower"
"2251","lower order",1,1,"lower"
"2255","lower order",1,1,"lower"
"2257","lower order",1,1,"lower"
"2264","lower order",1,1,"lower"
"2281","lower order",1,1,"lower"
"2296","lower order",1,1,"lower"
"2298","lower order",1,1,"lower"
"2315","lower order",1,1,"lower"
